movie_title,content_rating,runtime,production_company,audience_rating
An Affair to Remember,G,115,20thCenturyFox,87
An American Haunting,PG-13,90,Freestyle Releasing,36
An American Tail,G,80,Universal Pictures,71
An American Tail - Fievel Goes West,G,74,Universal Pictures,62
An American Werewolf in London,R,97,Universal Pictures,85
An American in Paris,G,113,MGM,79
An Education,PG-13,100,Sony,80
An Extremely Goofy Movie,G,79,Disney,48
An Inconvenient Truth,PG,95,Paramount,79
An Officer and a Gentleman,R,125,Paramount,81
An Unfinished Life,PG-13,107,Miramax Films,67
Anaconda,PG-13,89,Sony,24
Anacondas: The Hunt for the Blood Orchid,PG-13,96,Sony,27
Analyze That,R,95,Warner Bros.,39
Analyze This,R,103,Warner Bros.,62
Anastasia,G,94,20thCenturyFox,77
Anchorman - The Legend Of Ron Burgundy,PG-13,95,Dreamworks,86
Anchorman 2: The Legend Continues,PG-13,119,Paramount,52
Angel Eyes,R,104,Warner Bros.,46
Angel Heart,R,113,TriStar Pictures,81
Angel-A,R,90,Sony,74
Angels & Demons,PG-13,138,Sony,57
Anger Management,PG-13,106,Sony,60
Animal Kingdom,R,112,Sony,83
Anna Karenina,R,129,Focus Features,50
Anna and the King,PG-13,147,20thCenturyFox,64
Annabelle,R,98,New Line Cinema,36
Annapolis,PG-13,98,Disney,60
Annie(1982),G,130,Columbia Pictures,69
Annie(2014),PG,118,Sony,59
Annie Hall,PG,93,United Artists Pictures,92
Another 48 Hrs.,R,95,Paramount,35
Ant-Man,PG-13,117,Disney,86
Antichrist,NR,109,IFC Films,55
Antitrust,PG-13,107,MGM,50
Antwone Fisher,PG-13,120,20thCenturyFox,86
Antz,PG,87,Dreamworks,52
Any Given Sunday,R,162,Warner Bros.,73
Anywhere but Here,PG-13,114,20thCenturyFox,55
Apocalypse Now,R,153,United Artists Pictures,94
Apocalypto,R,137,Buena Vista,79
Apollo 13,PG,140,Universal Pictures,87
Apollo 18,PG-13,86,The Weinstein Company,23
Appaloosa,R,116,Warner Bros.,55
Apt Pupil,R,111,TriStar Pictures,56
Aqua Teen Hunger Force Colon Movie Film for Theaters,R,87,First Look Pictures,68
Aquamarine,PG,103,20thCenturyFox,61
Arachnophobia,PG-13,109,Buena Vista,54
Arbitrage,R,100,Roadside Attractions,62
Are We There Yet?,PG,94,Sony,45
Argo,R,120,Warner Bros.,90
Arizona Dream,R,119,Warner Bros.,86
Arlington Road,R,119,Sony,74
Armageddon,PG-13,150,Buena Vista,73
Armored,PG-13,88,Sony,31
Army of Darkness,R,81,Universal Pictures,87
Around the World in 80 Days(1956),G,170,United Artists Pictures,57
Around the World in 80 Days(2004),PG,119,Buena Vista,34
Arsenic and Old Lace,NR,118,Warner Bros.,92
Art School Confidential,R,102,Sony,48
Arthur(2011),PG,97,Orion Pictures Corporation,77
Arthur(1981),PG-13,110,Warner Bros.,44
Arthur Christmas,PG,97,Sony,76
Arthur and the Invisibles (Arthur and the Minimoys),PG,94,MGM,56
As Good as It Gets,PG-13,138,TriStar Pictures,86
Ask the Dust,R,117,Paramount,41
Assassin's Creed,PG-13,116,20thCenturyFox,43
Assassination of a High School President,R,99,Yari Film Group,46
Assassins,R,132,Warner Bros.,45
Assault on Precinct 13,R,109,Focus Features,48
Astro Boy (AstroBoy),PG,94,Summit Entertainment,50
Atlantis - The Lost Empire,PG,95,Disney,53
Atomic Blonde,R,115,Focus Features,64
Atonement,R,123,Focus Features,80
Attack of the Killer Tomatoes!,PG,87,Warner Bros.,42
Attack the Block,R,88,Screen Gems,75
August Rush,PG,113,Warner Bros.,82
August: Osage County,R,119,The Weinstein Company,65
Austin Powers in Goldmember,PG-13,94,New Line Cinema,44
Austin Powers: International Man of Mystery,PG-13,89,New Line Cinema,77
Austin Powers: The Spy Who Shagged Me,PG-13,95,New Line Cinema,71
Australia,PG-13,165,20thCenturyFox,65
Autumn in New York,PG-13,103,MGM,54
Avatar,PG-13,155,20thCenturyFox,82
Avengers: Age of Ultron,PG-13,141,Disney,83
Avengers: Endgame,PG-13,181,Marvel Studios,90
Avengers: Infinity War,PG-13,149,Disney,91
Awake,R,84,MGM,54
Awakenings,PG-13,121,Columbia Pictures,89
Away From Her,PG-13,109,Lionsgate Films,81
Away We Go,R,97,Focus Features,74
BASEketball,R,103,Universal Pictures,74
Babe,G,94,Universal Pictures,67
Babe: Pig in the City,G,97,Universal Pictures,41
Babel,R,142,Paramount,77
Babies,PG,79,Focus Features,62
Baby Boom,PG,111,MGM,62
Baby Boy,R,129,Columbia Pictures,87
Baby Driver,R,113,Sony,86
Baby Geniuses,PG,94,TriStar Pictures,24
Baby Mama,PG-13,99,Universal Pictures,55
Baby's Day Out,PG,98,20thCenturyFox,52
Babylon A.D.,PG-13,90,20thCenturyFox,26
Back to School,PG-13,96,HBO Video,68
Back to the Future,PG,116,Universal Pictures,94
Back to the Future Part II,PG,107,Universal Pictures,85
Back to the Future Part III,PG,118,Universal Pictures,78
Bad Boys(1995),R,118,Sony,78
Bad Boys(1983),R,123,HBO Video,81
Bad Boys II,R,146,Sony,78
Bad Boys for Life,R,124,Columbia Pictures,96
Bad Company,PG-13,116,Touchstone Pictures,35
Bad Education,NC17,104,Sony,86
Bad Girls,R,99,20thCenturyFox,40
Bad Lieutenant: Port of Call New Orleans,R,121,First Look Pictures,57
Bad News Bears,PG-13,108,Paramount,46
Bad Santa,R,93,Miramax Films,75
Bad Teacher,R,92,Sony,36
Bad Words,R,85,Focus Features,61
Badlands,PG,95,Warner Bros.,90
Balls of Fury,PG-13,90,Focus Features,33
Balto,G,77,MCA Universal Home Video,70
Bambi,G,70,RKO,73
Bambi II,G,72,Disney,60
Bandits,PG-13,122,MGM,58
Bandslam,PG,111,Summit Entertainment,64
Bangkok Dangerous,R,100,Lionsgate Films,26
Barb Wire,R,98,PolyGram,14
Barbarella,PG,98,Universal Pictures,56
Barbershop,PG-13,102,MGM,62
Barbershop 2: Back in Business,PG-13,106,MGM,48
Barnyard,PG,90,Paramount,52
Barry Lyndon,PG,184,Warner Bros.,92
Barton Fink,R,116,20thCenturyFox,89
Basic,R,98,Sony,63
Basic Instinct,R,127,Artisan,63
Basic Instinct 2,R,114,Sony,26
Batman & Mr. Freeze: Subzero,NR,67,Warner Bros.,67
Batman & Robin,PG-13,130,Warner Bros.,16
Batman Begins,PG-13,140,Warner Bros.,94
Batman Beyond: Return of the Joker,PG-13,70,Warner Bros.,86
Batman Forever,PG-13,121,Warner Bros.,32
Batman Gotham Knight,PG-13,75,Warner Bros.,69
Batman Returns,PG-13,126,Warner Bros.,73
Batman v Superman: Dawn of Justice,PG-13,153,Warner Bros.,62
Batman: Mask of the Phantasm,PG,78,Warner Bros.,88
Batman: The Movie,PG,105,20thCenturyFox,62
Battle For Terra,PG,85,Roadside Attractions,41
Battle Royale,NR,114,Anchor Bay Entertainment,89
Battle: Los Angeles,PG-13,116,Sony,48
Battlefield Earth,PG-13,117,Warner Bros.,12
Battleship,PG-13,131,Universal Pictures,54
Baywatch,R,116,Paramount,55
Be Cool,PG-13,119,MGM,42
Be Kind Rewind,PG-13,101,New Line Cinema,56
Beaches,PG-13,123,Disney,88
Bean,PG-13,90,Universal Pictures,53
Beastly,PG-13,86,CBS,48
Beasts of the Southern Wild,PG-13,93,20thCenturyFox,76
Beautiful Creatures,PG-13,123,Warner Bros.,54
Beauty Shop,PG-13,105,MGM,62
Beauty and the Beast(an),G,84,Buena Vista,92
Beauty and the Beast(Live_action),PG,129,Disney,80
Beauty and the Beast - The Enchanted Christmas,G,72,Disney,55
Beavis and Butt-head Do America,PG-13,80,Paramount,69
Because I Said So,PG-13,109,Universal Pictures,65
Because of Winn-Dixie,PG,105,20thCenturyFox,63
Becoming Jane,PG,120,Miramax Films,74
Bedazzled,PG-13,93,20thCenturyFox,42
Bedknobs and Broomsticks,G,117,Buena Vista,74
Bedtime Stories,PG,99,Disney,55
Bee Movie,PG,91,Paramount,53
Beerfest,R,110,Warner Bros.,75
Beethoven,PG,88,Universal Pictures,35
Beethoven's 2nd,PG,88,MCA Universal Home Video,30
Beethoven's 3rd,G,99,Universal Pictures,24
Beethoven's 4th,G,93,MCA Universal Home Video,28
Beetlejuice,PG,92,Warner Bros.,82
Before Sunrise,R,101,Sony,93
Before Sunset,R,80,Warner Bros.,91
Before the Devil Knows You're Dead,R,116,ThinkFilm,71
Begin Again,R,104,The Weinstein Company,81
Beginners,R,105,Focus Features,77
Behind Enemy Lines,PG-13,106,20thCenturyFox,62
Being John Malkovich,R,112,Gramercy Pictures,87
Being There,PG,130,20thCenturyFox,92
Belle,PG,103,20thCenturyFox,82
Belle's Magical World,G,70,Disney,72
Belly,R,95,Artisan,87
Ben-Hur,G,203,MGM,89
Bend It Like Beckham,PG-13,112,20thCenturyFox,73
Benny & Joon,PG-13,98,MGM,85
Beowulf,PG-13,114,Paramount,50
Best in Show,PG-13,90,Warner Bros.,89
Beverly Hills Chihuahua,PG,91,Disney,52
Beverly Hills Cop,R,105,Paramount,82
Beverly Hills Cop II,R,103,Paramount,57
Beverly Hills Cop III,R,104,Paramount,35
Beverly Hills Ninja,PG-13,88,Sony,53
Bewitched,PG-13,100,Columbia Pictures,28
Beyond Borders,R,127,Paramount,72
Bicentennial Man,PG,131,Buena Vista,58
Big,PG,104,20thCenturyFox,82
Big Daddy,PG-13,93,Columbia Pictures,74
Big Eyes,PG-13,106,The Weinstein Company,68
Big Fan,R,88,First Independent Pictures,62
Big Fat Liar,PG,88,Universal Pictures,44
Big Fish,PG-13,125,Sony,89
Big Hero 6,PG,102,Disney,91
Big Miracle,PG,107,Universal Pictures,64
Big Momma's House,PG-13,98,20thCenturyFox,57
Big Momma's House 2,PG-13,99,20thCenturyFox,58
"Big Mommas: Like Father, Like Son",PG-13,108,20thCenturyFox,58
Big Top Pee-wee,PG,86,Paramount,30
Big Trouble in Little China,PG-13,98,20thCenturyFox,82
"Bigger, Stronger, Faster*",PG-13,105,Magnolia Pictures,81
Biker Boyz,PG-13,110,Dreamworks,54
Bill & Ted's Bogus Journey,PG,98,Orion Pictures Corporation,56
Bill and Ted's Excellent Adventure,PG,90,Orion Pictures Corporation,75
Billy Madison,PG-13,89,MCA Universal Home Video,79
Bio-Dome,PG-13,95,MGM,51
Bird on a Wire,PG-13,110,MCA Universal Home Video,41
Birdman,R,119,20thCenturyFox,77
Birth,R,100,New Line Cinema,43
Black Beauty,G,85,Live Home Video,75
Black Book,R,144,Sony,87
Black Christmas,R,90,MGM,37
Black Hawk Down,R,144,Sony,88
Black Knight,PG-13,95,20thCenturyFox,34
Black Mass,R,123,Warner Bros.,68
Black Panther,PG-13,134,Marvel Studios,79
Black Rain,R,125,Paramount,55
Black Sheep(1996),PG-13,87,Paramount,70
